postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines) ,Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Average data usage (GB),Median download speed (Mbit/s)__Score,Overall_Score
AB101AU,AB10 1AU,AB,0.1503957783641161,17.4,8.1,72.2,8.7,15.9,72.2,,1.1,1.9,0.4,20.0,1.0,1.1,20.0,,,,,20.0,,,,202.0,196.0,172.0,,196,-1.3050174786139674,0.9279588058881068
AB101BA,AB10 1BA,AB,0.20448548812664907,18.8,7.8,23.8,8.7,19.8,72.2,,1.1,1.1,0.4,1.3,0.6,1.1,20.0,,,,,20.0,,,,31.0,202.0,172.0,,182,-0.7170425706670153,0.9279588058881068
AB101BB,AB10 1BB,AB,0.1279683377308707,17.3,4.7,69.1,6.5,16.0,69.1,,1.1,2.6,0.8,20.0,1.0,1.1,20.0,,,,,7.0,,,,90.0,78.0,258.0,,97,-1.5488119526407524,0.9279588058881068
AB101BD,AB10 1BD,AB,0.12005277044854881,12.9,8.1,16.2,8.1,14.1,69.1,,1.0,0.9,0.7,1.2,0.7,1.0,20.0,,,,,4.0,,,,1.0,81.0,258.0,,65,-1.6348570611207942,0.9279588058881068
AB101FG,AB10 1FG,AB,0.17810026385224273,19.8,14.3,69.0,8.1,17.5,69.0,,1.1,2.0,0.9,20.0,0.7,1.1,20.0,,,,,21.0,,,,1.0,453.0,568.0,,458,-1.0038595989338215,0.9279588058881068
AB101FL,AB10 1FL,AB,0.18337730870712404,17.3,11.5,22.0,8.1,17.3,69.0,,1.1,1.1,0.7,1.3,0.7,1.1,20.0,,,,,23.0,,,,1.0,374.0,568.0,,374,-0.9464961932804596,0.9279588058881068
AB101HF,AB10 1HF,AB,0.133245382585752,13.4,3.7,18.2,3.7,14.6,69.0,,1.1,1.1,0.8,1.2,0.8,1.1,20.0,,,,,8.0,,,,29.0,254.0,568.0,,212,-1.491448546987391,0.9279588058881068
AB101HP,AB10 1HP,AB,0.16094986807387862,15.9,12.9,19.6,3.7,15.9,69.0,,1.1,1.1,1.0,1.3,0.8,1.1,20.0,,,,,9.0,,,,29.0,44.0,568.0,,44,-1.190290667307245,0.9279588058881068
AB101HW,AB10 1HW,AB,0.13720316622691292,18.3,3.9,80.0,8.0,17.4,61.1,,1.2,2.2,0.3,20.0,0.7,1.1,15.2,,,,6.0,14.0,,,,14.0,12.0,75.0,,20,-1.4484259927473706,0.9279588058881068
AB101JE,AB10 1JE,AB,0.12401055408970976,19.2,4.6,69.8,6.3,14.2,69.8,,1.1,3.4,0.4,20.0,0.8,1.0,20.0,,,,6.0,5.0,,,,48.0,514.0,466.0,,391,-1.5918345068807733,0.9279588058881068
AB101JG,AB10 1JG,AB,0.133245382585752,16.4,4.9,55.0,6.3,14.4,55.0,,1.1,1.7,0.7,10.0,1.0,1.0,10.0,,,,6.0,9.0,,,,19.0,147.0,487.0,,154,-1.491448546987391,0.9279588058881068
AB101JJ,AB10 1JJ,AB,0.10554089709762532,15.0,5.1,51.7,7.8,14.9,51.7,,1.1,2.3,0.4,18.0,1.0,1.2,18.0,,,,5.0,8.0,,,,16.0,141.0,264.0,,99,-1.7926064266675377,0.9279588058881068
AB101JL,AB10 1JL,AB,0.12269129287598945,12.6,4.5,18.0,5.8,15.4,51.7,,1.0,1.1,0.7,2.2,0.8,1.3,18.0,,,,5.0,5.0,,,,25.0,183.0,264.0,,138,-1.6061753582941136,0.9279588058881068
AB101JN,AB10 1JN,AB,0.1503957783641161,14.3,4.3,18.5,4.3,16.3,51.7,,1.1,1.0,0.4,1.2,0.4,1.1,18.0,,,,5.0,5.0,,,,14.0,36.0,264.0,,32,-1.3050174786139674,0.9279588058881068
AB101JQ,AB10 1JQ,AB,0.17150395778364116,22.0,8.1,62.6,8.1,17.6,62.6,,1.2,3.5,0.9,20.0,0.9,1.2,20.0,,,,5.0,6.0,,,,20.0,299.0,130.0,,243,-1.0755638560005227,0.9279588058881068
AB101JR,AB10 1JR,AB,0.11873350923482848,13.7,4.0,24.3,4.0,16.1,62.6,,1.1,1.1,0.8,1.3,1.1,1.1,20.0,,,,5.0,4.0,,,,20.0,106.0,130.0,,106,-1.6491979125341347,0.9279588058881068
AB101JS,AB10 1JS,AB,0.15567282321899736,19.5,7.4,40.0,7.4,16.6,40.0,,1.2,2.5,0.9,10.0,0.9,1.1,10.0,,,,5.0,10.0,,,,188.0,311.0,28.0,,234,-1.2476540729606063,0.9279588058881068
AB101JT,AB10 1JT,AB,0.16094986807387862,15.2,8.1,21.8,8.1,16.1,40.0,,1.1,1.0,0.7,1.2,1.0,1.1,10.0,,,,5.0,8.0,,,,44.0,236.0,28.0,,215,-1.190290667307245,0.9279588058881068
AB101JX,AB10 1JX,AB,0.1569920844327177,21.7,11.5,72.8,8.1,17.0,72.8,,1.2,2.5,0.4,18.8,1.0,1.0,18.8,,,,5.0,11.0,,,,44.0,180.0,620.0,,217,-1.2333132215472657,0.9279588058881068
AB101LB,AB10 1LB,AB,0.18337730870712404,17.3,8.1,23.5,8.1,18.3,72.8,,1.0,1.0,0.9,1.2,1.1,1.0,18.8,,,,5.0,9.0,,,,1.0,95.0,620.0,,86,-0.9464961932804596,0.9279588058881068
AB101NN,AB10 1NN,AB,0.15831134564643798,32.1,2.0,80.0,2.0,14.4,59.8,,9.9,8.6,1.0,20.0,17.0,1.1,13.3,,,,5.0,9.0,,,,36.0,446.0,321.0,,334,-1.218972370133926,0.9279588058881068
AB101NP,AB10 1NP,AB,0.6002638522427441,47.9,12.3,80.0,2.0,15.8,80.0,,10.6,10.5,0.9,20.0,17.0,1.1,20.0,,,,5.0,4.0,4.0,,4.0,36.0,161.0,77.0,,119,3.585212853335075,0.9279588058881068
AB101PE,AB10 1PE,AB,0.133245382585752,39.9,8.5,80.0,9.2,12.6,73.9,,1.2,9.6,0.8,20.0,0.9,1.0,20.0,,,,5.0,4.0,5.0,,5.0,172.0,196.0,215.0,,200,-1.491448546987391,0.9279588058881068
AB101PF,AB10 1PF,AB,0.133245382585752,27.5,5.5,80.0,5.5,16.9,70.4,,1.2,6.1,0.3,20.0,0.3,2.9,18.5,,,,5.0,6.0,5.0,,5.0,4.0,100.0,191.0,,109,-1.491448546987391,0.9279588058881068
AB101QD,AB10 1QD,AB,0.312664907651715,37.3,7.9,78.7,7.9,14.8,61.5,,5.6,9.3,1.0,20.0,1.1,1.1,17.5,,,,5.0,6.0,4.0,,4.0,115.0,240.0,86.0,,147,0.45890724522688875,0.9279588058881068
AB101QE,AB10 1QE,AB,0.15831134564643798,26.3,6.6,67.3,8.2,14.8,49.7,,1.3,5.4,0.6,16.9,0.9,1.1,13.3,,,,5.0,7.0,5.0,,5.0,262.0,309.0,149.0,,245,-1.218972370133926,0.9279588058881068
AB101QH,AB10 1QH,AB,0.47229551451187335,37.3,4.5,80.0,6.2,14.6,58.1,,10.0,8.1,0.9,20.0,1.1,1.7,13.8,,,,5.0,10.0,14.0,,14.0,117.0,495.0,269.0,,338,2.1941502662410652,0.9279588058881068
AB101QJ,AB10 1QJ,AB,0.47229551451187335,33.5,2.7,72.5,6.0,17.2,45.8,,10.0,8.9,0.5,20.0,0.7,4.0,12.7,,,,5.0,5.0,11.0,,11.0,252.0,251.0,288.0,,274,2.1941502662410652,0.9279588058881068
AB101QL,AB10 1QL,AB,0.11873350923482848,20.6,3.9,40.0,3.9,14.7,40.0,,1.1,3.5,0.7,10.0,1.0,1.1,10.0,,,,5.0,7.0,11.0,,11.0,42.0,91.0,155.0,,104,-1.6491979125341347,0.9279588058881068
AB101QN,AB10 1QN,AB,0.08575197889182057,15.6,5.4,77.1,7.8,11.4,55.7,,1.1,2.6,0.5,20.0,0.9,1.1,13.3,,,,10.0,10.0,11.0,,11.0,133.0,278.0,136.0,,196,-2.007719197867642,0.9279588058881068
AB101QQ,AB10 1QQ,AB,0.2941952506596306,26.5,13.0,40.0,7.8,13.0,40.0,,5.6,5.6,1.1,10.0,0.9,1.1,10.0,,,,10.0,10.0,11.0,,11.0,133.0,439.0,231.0,,335,0.25813532544012474,0.9279588058881068
AB101QS,AB10 1QS,AB,0.08575197889182057,11.8,0.6,22.8,5.6,18.1,40.0,,0.9,1.0,0.4,1.3,0.8,1.1,10.0,,,,10.0,7.0,11.0,,11.0,9.0,182.0,231.0,,119,-2.007719197867642,0.9279588058881068
AB101QT,AB10 1QT,AB,0.1437994722955145,21.1,6.6,55.0,7.4,15.9,53.0,,1.0,3.5,0.6,20.0,1.0,1.0,15.0,,,,10.0,7.0,11.0,,11.0,85.0,206.0,392.0,,221,-1.376721735680669,0.9279588058881068
AB101QZ,AB10 1QZ,AB,0.20052770448548812,33.3,14.3,80.0,7.4,17.7,80.0,,1.2,5.8,1.0,20.0,1.0,1.1,20.0,,,,10.0,7.0,11.0,,11.0,85.0,57.0,306.0,,119,-0.7600651249070363,0.9279588058881068
AB101RB,AB10 1RB,AB,0.11477572559366755,16.0,8.1,54.6,8.1,14.6,54.6,,1.2,1.6,0.4,10.0,0.7,1.2,10.0,,,,10.0,11.0,11.0,,11.0,36.0,195.0,295.0,,177,-1.6922204667741554,0.9279588058881068
AB101RD,AB10 1RD,AB,0.133245382585752,13.4,8.1,19.7,8.4,15.9,54.6,,1.1,1.1,0.4,1.3,0.9,1.2,10.0,,,,5.0,10.0,11.0,,11.0,66.0,154.0,295.0,,122,-1.491448546987391,0.9279588058881068
AB101RH,AB10 1RH,AB,0.13192612137203166,17.3,9.1,37.1,9.1,14.3,37.1,,1.2,2.3,1.1,7.8,1.2,1.2,7.8,,,,5.0,4.0,11.0,,11.0,90.0,366.0,107.0,,277,-1.5057893984007316,0.9279588058881068
AB101RJ,AB10 1RJ,AB,0.1675461741424802,32.2,5.4,80.0,7.7,15.4,64.0,,1.3,6.9,0.4,20.0,0.8,1.1,16.7,,,,5.0,7.0,6.0,,6.0,75.0,97.0,87.0,,89,-1.1185864102405438,0.9279588058881068
AB101RL,AB10 1RL,AB,0.36675461741424803,34.4,14.8,72.0,7.7,18.2,50.7,,5.6,7.3,1.1,20.0,0.8,1.2,13.3,,,,5.0,7.0,6.0,,6.0,75.0,139.0,159.0,,151,1.0468821531738415,0.9279588058881068
AB101RN,AB10 1RN,AB,0.13984168865435356,21.3,9.2,46.5,9.2,14.8,46.5,,1.2,2.1,1.1,5.1,1.1,1.2,5.1,,,,5.0,7.0,6.0,,6.0,92.0,346.0,5.0,,197,-1.4197442899206898,0.9279588058881068
AB101RP,AB10 1RP,AB,0.47229551451187335,38.5,12.7,79.8,9.2,14.3,58.3,,10.0,8.9,0.6,20.0,1.1,1.1,15.3,,,,5.0,9.0,11.0,,11.0,92.0,118.0,260.0,,196,2.1941502662410652,0.9279588058881068
AB101RQ,AB10 1RQ,AB,0.1279683377308707,25.8,9.0,55.0,9.0,12.5,47.5,,1.0,4.6,0.9,10.0,0.9,1.0,10.0,,,,5.0,9.0,11.0,,11.0,6.0,390.0,557.0,,380,-1.5488119526407524,0.9279588058881068
AB101RR,AB10 1RR,AB,0.1266490765171504,23.6,7.9,40.0,7.9,12.5,40.0,,1.1,4.9,1.0,10.0,1.0,1.1,10.0,,,,5.0,9.0,11.0,,11.0,525.0,25.0,492.0,,296,-1.5631528040540927,0.9279588058881068
AB101RT,AB10 1RT,AB,0.09762532981530342,19.8,10.2,40.0,7.9,11.7,40.0,,1.1,3.6,1.0,10.0,1.0,1.1,10.0,,,,5.0,5.0,11.0,,11.0,525.0,163.0,794.0,,344,-1.8786515351475794,0.9279588058881068
AB101RX,AB10 1RX,AB,0.1503957783641161,31.7,7.0,78.0,8.3,14.3,56.9,,1.2,7.2,0.8,20.0,1.0,1.1,15.3,,,,5.0,6.0,6.0,,6.0,41.0,189.0,109.0,,136,-1.3050174786139674,0.9279588058881068
AB101RY,AB10 1RY,AB,0.1345646437994723,19.9,8.0,80.0,8.5,13.9,48.0,,1.2,3.4,0.6,20.0,1.1,1.4,12.0,,,,5.0,18.0,5.0,,5.0,90.0,245.0,210.0,,220,-1.477107695574051,0.9279588058881068
AB101SB,AB10 1SB,AB,0.47229551451187335,43.0,7.5,80.0,8.2,13.4,60.8,,10.0,9.9,0.8,20.0,1.0,1.1,15.0,,,,4.0,8.0,21.0,,21.0,83.0,316.0,287.0,,269,2.1941502662410652,0.9279588058881068
AB101SE,AB10 1SE,AB,0.13852242744063323,28.6,7.5,75.8,8.6,12.4,47.6,,1.3,6.8,0.4,20.0,0.8,1.0,13.1,,,,8.0,10.0,17.0,,17.0,332.0,212.0,244.0,,256,-1.4340851413340303,0.9279588058881068
AB101SL,AB10 1SL,AB,0.32717678100263853,30.4,6.5,75.6,7.3,17.6,48.4,,5.6,6.7,0.3,20.0,0.6,1.0,12.5,,,,8.0,10.0,4.0,,4.0,1.0,14.0,543.0,,275,0.6166566107736324,0.9279588058881068
AB101SN,AB10 1SN,AB,0.22031662269129287,35.7,7.3,80.0,8.5,14.9,62.7,,1.3,8.0,0.8,20.0,1.0,1.1,16.2,,,,6.0,13.0,16.0,,16.0,209.0,308.0,269.0,,272,-0.5449523537069317,0.9279588058881068
AB101SP,AB10 1SP,AB,0.08443271767810026,20.8,2.2,73.9,5.9,14.4,57.0,,1.1,4.5,0.9,20.0,1.0,1.2,15.0,,,,6.0,13.0,16.0,,16.0,91.0,348.0,78.0,,152,-2.022060049280982,0.9279588058881068
AB101SQ,AB10 1SQ,AB,0.07387862796833775,25.5,6.4,80.0,7.1,11.5,60.0,,1.1,5.6,0.6,20.0,0.9,1.0,15.0,,,,6.0,13.0,16.0,,16.0,7.0,308.0,1117.0,,289,-2.1367868605877045,0.9279588058881068
AB101SS,AB10 1SS,AB,0.13984168865435356,33.4,6.2,80.0,8.2,11.7,60.2,,1.2,7.2,0.8,20.0,1.1,1.0,14.6,,,,4.0,9.0,11.0,,11.0,325.0,217.0,348.0,,302,-1.4197442899206898,0.9279588058881068
AB101ST,AB10 1ST,AB,0.47229551451187335,33.7,8.2,69.1,9.0,14.5,49.9,,10.0,8.5,0.7,20.0,0.9,1.9,14.0,,,,4.0,8.0,14.0,,14.0,140.0,181.0,443.0,,323,2.1941502662410652,0.9279588058881068
AB101SU,AB10 1SU,AB,0.9696569920844327,68.8,40.0,80.0,9.0,14.5,68.8,,20.0,17.5,10.0,20.0,0.9,1.9,17.5,,,,4.0,8.0,4.0,,4.0,140.0,181.0,735.0,,735,7.600651249070357,0.9279588058881068
AB101SY,AB10 1SY,AB,0.47097625329815307,35.8,8.3,64.2,8.3,12.5,48.0,,9.6,8.9,1.1,19.8,1.1,1.1,12.8,,,,4.0,8.0,8.0,,8.0,396.0,199.0,346.0,,314,2.179809414827725,0.9279588058881068
AB101TA,AB10 1TA,AB,0.4670184696569921,34.3,3.5,80.0,6.9,12.9,51.2,,10.0,8.2,0.8,20.0,1.0,1.7,13.2,,,,4.0,8.0,15.0,,15.0,117.0,148.0,309.0,,237,2.136786860587704,0.9279588058881068
AB101TB,AB10 1TB,AB,0.47229551451187335,37.1,5.8,76.6,7.5,14.7,54.7,,10.0,9.3,0.6,20.0,0.9,2.1,14.6,,,,4.0,8.0,17.0,,17.0,50.0,264.0,456.0,,350,2.1941502662410652,0.9279588058881068
AB101TD,AB10 1TD,AB,0.08047493403693931,19.7,5.9,79.7,6.9,14.3,79.7,,1.1,3.9,0.2,20.0,0.7,2.2,20.0,,,,4.0,4.0,17.0,,17.0,127.0,222.0,0.0,,159,-2.0650826035210033,0.9279588058881068
AB101TE,AB10 1TE,AB,0.1411609498680739,30.6,6.5,76.0,7.7,12.5,57.8,,1.3,7.3,0.9,20.0,1.1,1.1,16.0,,,,4.0,5.0,5.0,,5.0,102.0,43.0,265.0,,155,-1.4054034385073493,0.9279588058881068
AB101TF,AB10 1TF,AB,0.1424802110817942,27.8,9.5,80.0,9.5,14.7,58.4,,1.1,5.2,1.0,20.0,1.1,1.1,14.4,,,,4.0,8.0,4.0,,4.0,201.0,648.0,489.0,,565,-1.3910625870940092,0.9279588058881068
AB101TH,AB10 1TH,AB,0.4670184696569921,42.5,9.7,80.0,9.8,15.1,66.6,,10.0,9.6,0.8,20.0,1.0,1.1,16.7,,,,4.0,7.0,12.0,,12.0,201.0,114.0,213.0,,180,2.136786860587704,0.9279588058881068
AB101TJ,AB10 1TJ,AB,0.0474934036939314,26.3,2.5,80.0,6.0,14.0,76.1,,1.0,5.8,0.8,20.0,1.0,1.1,18.9,,,,5.0,7.0,4.0,,4.0,117.0,28.0,180.0,,116,-2.4236038888545104,0.9279588058881068
AB101TL,AB10 1TL,AB,0.08047493403693931,20.9,1.8,76.9,3.4,10.4,52.3,,1.0,4.6,0.4,20.0,0.7,0.9,13.3,,,,5.0,4.0,4.0,,4.0,0.0,253.0,118.0,,139,-2.0650826035210033,0.9279588058881068
AB101TN,AB10 1TN,AB,0.05145118733509234,10.6,4.5,24.2,7.2,24.2,52.3,,1.0,1.0,0.4,1.4,0.9,1.2,13.3,,,,5.0,4.0,4.0,,4.0,46.0,6.0,118.0,,38,-2.3805813346144897,0.9279588058881068
AB101TP,AB10 1TP,AB,0.07387862796833775,11.7,4.1,44.9,8.2,10.9,44.9,,0.9,1.6,0.7,10.0,0.9,1.0,10.0,,,,8.0,4.0,4.0,,4.0,157.0,74.0,398.0,,156,-2.1367868605877045,0.9279588058881068
AB101TR,AB10 1TR,AB,1.0,70.1,40.0,80.0,8.2,10.9,70.1,,20.0,17.8,10.0,20.0,0.9,1.0,17.8,,,,8.0,4.0,5.0,,5.0,157.0,74.0,75.0,,75,7.930490831577185,0.9279588058881068
AB101TS,AB10 1TS,AB,0.1279683377308707,32.5,5.9,80.0,7.6,11.5,59.7,,1.2,7.3,0.4,20.0,0.9,1.0,14.9,,,,5.0,7.0,10.0,,10.0,123.0,107.0,269.0,,188,-1.5488119526407524,0.9279588058881068
AB101TT,AB10 1TT,AB,0.10422163588390501,29.2,4.8,80.0,7.0,12.0,80.0,,1.2,7.1,0.6,20.0,3.7,1.5,20.0,,,,5.0,5.0,10.0,,10.0,4.0,242.0,131.0,,147,-1.806947278080878,0.9279588058881068
AB101TX,AB10 1TX,AB,0.4670184696569921,40.9,8.4,80.0,8.8,12.0,66.6,,10.0,9.7,0.9,20.0,1.0,1.1,17.1,,,,5.0,4.0,7.0,,7.0,312.0,354.0,243.0,,288,2.136786860587704,0.9279588058881068
AB101TY,AB10 1TY,AB,0.0936675461741425,12.9,6.2,41.5,8.4,12.5,41.5,,1.1,1.5,0.5,10.0,0.9,1.1,10.0,,,,5.0,14.0,7.0,,7.0,88.0,254.0,377.0,,225,-1.9216740893876,0.9279588058881068
AB101TZ,AB10 1TZ,AB,0.10026385224274406,15.4,5.0,78.4,7.9,12.4,59.2,,1.1,2.3,0.8,20.0,1.0,1.0,15.0,,,,6.0,14.0,7.0,,7.0,104.0,163.0,705.0,,196,-1.8499698323208988,0.9279588058881068
AB101UA,AB10 1UA,AB,0.11477572559366755,31.7,10.8,80.0,7.9,11.8,58.3,,1.2,6.3,0.9,20.0,1.0,1.1,13.3,,,,6.0,4.0,7.0,,7.0,104.0,109.0,83.0,,98,-1.6922204667741554,0.9279588058881068
AB101UB,AB10 1UB,AB,0.21635883905013192,34.3,6.8,80.0,8.1,12.7,58.5,,1.3,7.2,0.4,20.0,1.1,1.0,13.9,,,,6.0,11.0,12.0,,12.0,136.0,340.0,336.0,,322,-0.5879749079469526,0.9279588058881068
AB101UD,AB10 1UD,AB,0.13720316622691292,35.4,8.1,80.0,8.7,13.0,61.8,,1.2,7.5,0.9,20.0,1.0,1.1,14.6,,,,6.0,7.0,9.0,,9.0,14.0,245.0,164.0,,166,-1.4484259927473706,0.9279588058881068
AB101UE,AB10 1UE,AB,0.47229551451187335,40.7,10.2,75.7,8.7,10.8,55.7,,10.0,10.3,0.8,20.0,1.0,1.0,15.0,,,,6.0,7.0,4.0,,4.0,14.0,254.0,210.0,,225,2.1941502662410652,0.9279588058881068
AB101UG,AB10 1UG,AB,0.11873350923482848,18.5,4.5,80.0,8.2,13.4,52.1,,1.1,2.4,0.4,20.0,1.0,1.0,10.3,,,,4.0,36.0,7.0,,7.0,98.0,254.0,429.0,,268,-1.6491979125341347,0.9279588058881068
AB101UH,AB10 1UH,AB,0.08575197889182057,19.4,2.2,78.5,7.1,11.4,71.3,,1.0,3.7,0.5,20.0,0.9,1.0,17.9,,,,10.0,14.0,5.0,,5.0,128.0,322.0,363.0,,253,-2.007719197867642,0.9279588058881068
AB101UJ,AB10 1UJ,AB,0.07387862796833775,14.6,3.2,40.0,7.6,12.2,38.6,,1.1,2.4,0.3,10.0,0.8,1.0,8.8,,,,7.0,4.0,5.0,,5.0,184.0,12.0,268.0,,177,-2.1367868605877045,0.9279588058881068
AB101UL,AB10 1UL,AB,0.35751978891820585,41.2,4.0,80.0,5.7,16.5,73.1,,5.6,9.6,0.4,20.0,0.9,0.8,18.3,,,,7.0,4.0,6.0,,6.0,26.0,78.0,257.0,,150,0.9464961932804596,0.9279588058881068
AB101UN,AB10 1UN,AB,0.47229551451187335,36.4,4.0,80.0,6.4,16.5,57.8,,10.0,8.7,0.4,20.0,0.9,0.8,14.3,,,,7.0,4.0,7.0,,7.0,40.0,78.0,83.0,,65,2.1941502662410652,0.9279588058881068
AB101UP,AB10 1UP,AB,0.47229551451187335,44.1,3.8,80.0,6.3,13.2,61.7,,10.0,10.3,0.2,20.0,0.7,1.1,15.0,,,,7.0,4.0,10.0,,10.0,2.0,55.0,116.0,,91,2.1941502662410652,0.9279588058881068
AB101UQ,AB10 1UQ,AB,0.46306068601583106,35.6,5.1,79.9,7.3,12.2,52.9,,3.7,8.0,0.4,20.0,0.6,0.8,12.9,,,,7.0,4.0,6.0,,6.0,18.0,6.0,140.0,,89,2.093764306347682,0.9279588058881068
AB101UR,AB10 1UR,AB,0.3970976253298153,40.4,5.5,80.0,6.8,13.7,71.7,,5.6,8.8,0.5,20.0,0.9,1.2,16.7,,,,7.0,4.0,6.0,,6.0,7.0,171.0,463.0,,263,1.376721735680668,0.9279588058881068
AB101US,AB10 1US,AB,0.3034300791556728,41.9,4.5,80.0,6.1,12.6,73.3,,5.6,9.6,0.8,20.0,0.8,1.0,18.3,,,,7.0,4.0,6.0,,6.0,426.0,350.0,161.0,,261,0.3585212853335071,0.9279588058881068
AB101UT,AB10 1UT,AB,0.3087071240105541,34.3,0.3,79.7,4.1,15.2,60.8,,5.6,8.7,0.4,20.0,0.6,1.2,16.7,,,,7.0,4.0,6.0,,6.0,6.0,3.0,160.0,,83,0.4158846909868684,0.9279588058881068
AB101UU,AB10 1UU,AB,0.07915567282321898,19.6,5.9,76.6,8.1,11.2,60.1,,1.1,3.8,0.7,20.0,1.0,1.1,14.8,,,,9.0,7.0,4.0,,4.0,62.0,117.0,781.0,,225,-2.0794234549343438,0.9279588058881068
AB101UW,AB10 1UW,AB,0.26649076517150394,24.2,8.2,40.0,8.5,11.2,40.0,,5.6,5.5,1.0,10.0,1.1,1.1,10.0,,,,9.0,7.0,4.0,,4.0,3.0,117.0,251.0,,127,-0.0430225542400215,0.9279588058881068
AB101UX,AB10 1UX,AB,0.09630606860158311,16.7,6.3,55.0,7.9,12.0,50.0,,1.1,2.4,0.5,10.0,0.9,1.1,10.0,,,,6.0,10.0,4.0,,4.0,179.0,119.0,176.0,,147,-1.8929923865609197,0.9279588058881068
AB101UY,AB10 1UY,AB,0.10686015831134565,22.7,8.9,80.0,8.9,11.9,55.8,,1.1,4.1,0.6,20.0,0.6,1.0,13.3,,,,6.0,17.0,6.0,,6.0,33.0,103.0,94.0,,94,-1.7782655752541972,0.9279588058881068
AB101UZ,AB10 1UZ,AB,0.13060686015831136,20.7,8.3,80.0,9.0,13.8,60.0,,1.1,3.4,0.8,20.0,1.0,1.0,15.0,,,,6.0,8.0,6.0,,6.0,407.0,198.0,819.0,,302,-1.5201302498140719,0.9279588058881068
AB101WB,AB10 1WB,AB,0.19393139841688653,21.4,7.6,55.0,7.6,18.5,55.0,,1.2,2.1,1.0,10.0,1.0,1.2,10.0,,,,6.0,7.0,6.0,,6.0,14.0,328.0,13.0,,258,-0.8317693819737378,0.9279588058881068
AB101XA,AB10 1XA,AB,0.47097625329815307,44.0,6.6,80.0,7.4,20.2,59.1,,10.0,11.1,1.0,20.0,1.1,4.1,15.4,,,,6.0,7.0,8.0,,8.0,21.0,189.0,272.0,,216,2.179809414827725,0.9279588058881068
AB101XB,AB10 1XB,AB,0.08179419525065965,21.5,5.8,80.0,8.1,11.4,50.5,,1.0,4.6,0.4,20.0,0.8,1.0,13.3,,,,5.0,7.0,8.0,,8.0,33.0,29.0,310.0,,115,-2.0507417521076627,0.9279588058881068
AB101XD,AB10 1XD,AB,0.10422163588390501,23.6,3.3,80.0,7.8,13.5,70.0,,1.1,4.5,0.7,20.0,1.0,1.0,17.1,,,,8.0,9.0,5.0,,5.0,154.0,291.0,466.0,,275,-1.806947278080878,0.9279588058881068
AB101XE,AB10 1XE,AB,0.47229551451187335,40.0,3.6,80.0,7.8,15.8,62.9,,10.0,10.2,0.4,20.0,0.9,0.8,17.4,,,,8.0,5.0,18.0,,18.0,36.0,150.0,148.0,,117,2.1941502662410652,0.9279588058881068
AB101XH,AB10 1XH,AB,0.47229551451187335,34.9,6.7,79.9,7.4,15.8,53.3,,10.0,8.4,1.0,20.0,1.1,0.8,13.3,,,,8.0,5.0,18.0,,18.0,8.0,150.0,104.0,,66,2.1941502662410652,0.9279588058881068
AB101XL,AB10 1XL,AB,0.5646437994722955,45.8,7.1,80.0,7.1,13.9,80.0,,10.6,10.6,1.2,20.0,1.2,1.2,20.0,,,,8.0,5.0,18.0,,18.0,130.0,239.0,148.0,,175,3.1980098651748854,0.9279588058881068
AB101XN,AB10 1XN,AB,0.988126649076517,63.9,10.2,80.0,7.1,10.2,72.8,,20.0,15.8,0.9,20.0,1.2,0.9,18.3,,,,8.0,5.0,6.0,,6.0,130.0,26.0,336.0,,292,7.801423168857121,0.9279588058881068
AB101XY,AB10 1XY,AB,0.662269129287599,49.0,1.6,80.0,3.5,14.9,63.6,,19.0,13.4,0.4,20.0,0.8,2.4,17.7,,,,8.0,4.0,25.0,,25.0,12.0,633.0,221.0,,253,4.259232869762068,0.9279588058881068
AB101XZ,AB10 1XZ,AB,0.1029023746701847,17.0,5.1,40.0,5.8,13.0,40.0,,1.1,3.2,0.4,10.0,0.9,0.9,10.0,,,,8.0,4.0,25.0,,25.0,3.0,50.0,38.0,,30,-1.821288129494218,0.9279588058881068
AB101YD,AB10 1YD,AB,0.1279683377308707,29.6,8.1,80.0,8.9,14.8,80.0,,1.2,5.9,1.1,20.0,1.1,1.2,20.0,,,,8.0,4.0,25.0,,25.0,6.0,9.0,621.0,,183,-1.5488119526407524,0.9279588058881068
